2025-03-10 17:16:34,686 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:34.686324", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:34.686287"}}
2025-03-10 17:16:35,024 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:35.024528", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:24:13,303 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.303417", "user": "admin", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.303382"}}
2025-03-10 17:24:13,990 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.990621", "user": "admin", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:26:30,198 - WARNING - {"ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.198072", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://rebate-apollo-ruth-proof.trycloudflare.com/login", "location": "error: The address 192.168.8.192 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.198034"}}
2025-03-10 17:26:30,500 - WARNING - {"ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.500366", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://rebate-apollo-ruth-proof.trycloudflare.com/login", "location": "error: The address 192.168.8.192 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:40:25,104 - WARNING - EVENT: login_attempt | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Country: LK | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:40:25.104556"}
2025-03-10 17:40:25,469 - WARNING - EVENT: login_success | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Country: LK | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 21:27:16,093 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "ip": "127.0.0.1", "timestamp": "2025-03-12T21:27:16.093408"}
2025-03-12 21:27:16,360 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "user_id": 5, "name": "Navindra", "is_admin": false}
2025-03-12 21:45:19,057 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/601501ec-af5c-426a-9a74-7a4b0e47e5f5.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "6CS030 Assessment 2023_24.docx", "department": "IT", "user": "Yvez", "new_status": "public"}
2025-03-12 21:45:30,443 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/601501ec-af5c-426a-9a74-7a4b0e47e5f5.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "6CS030 Assessment 2023_24.docx", "department": "IT", "user": "Yvez", "new_status": "private"}
2025-03-12 21:49:45,374 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/601501ec-af5c-426a-9a74-7a4b0e47e5f5.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "6CS030 Assessment 2023_24.docx", "department": "IT", "user": "Yvez", "new_status": "public"}
2025-03-12 21:50:05,149 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/601501ec-af5c-426a-9a74-7a4b0e47e5f5.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "6CS030 Assessment 2023_24.docx", "department": "IT", "user": "Yvez", "new_status": "private"}
2025-03-12 21:55:35,599 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/77cc0dad-7abd-4100-8d1c-1ffcc1dcb486.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "WhatsApp Image 2025-03-05 at 19.40.59_d8c4d410.jpg", "department": "IT", "user": "Yvez", "new_status": "public"}
2025-03-12 21:55:43,036 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/77cc0dad-7abd-4100-8d1c-1ffcc1dcb486.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "WhatsApp Image 2025-03-05 at 19.40.59_d8c4d410.jpg", "department": "IT", "user": "Yvez", "new_status": "private"}
2025-03-12 21:56:05,307 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /delete_file/601501ec-af5c-426a-9a74-7a4b0e47e5f5.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "6CS030 Assessment 2023_24.docx", "department": "IT", "user": "Yvez", "secure_wipe": false}
2025-03-12 22:02:28,685 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/77cc0dad-7abd-4100-8d1c-1ffcc1dcb486.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "WhatsApp Image 2025-03-05 at 19.40.59_d8c4d410.jpg", "department": "IT", "user": "Yvez", "new_status": "public"}
2025-03-12 22:03:13,287 - WARNING - EVENT: access_change | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /toggle_access/77cc0dad-7abd-4100-8d1c-1ffcc1dcb486.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "WhatsApp Image 2025-03-05 at 19.40.59_d8c4d410.jpg", "department": "IT", "user": "Yvez", "new_status": "private"}
2025-03-12 22:13:11,129 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T22:13:11.129456"}
2025-03-12 22:13:11,588 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-13 01:51:47,890 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /delete_file/77cc0dad-7abd-4100-8d1c-1ffcc1dcb486.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "WhatsApp Image 2025-03-05 at 19.40.59_d8c4d410.jpg", "department": "IT", "user": "Yvez", "secure_wipe": false}
2025-03-13 01:55:02,556 - WARNING - EVENT: file_secure_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /erase_file/2e2ad53d-5ebf-4113-a503-c15257dc1d4f.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "asaadas.zip", "department": "IT", "user": "Yvez", "method": "Gutmann (35 passes)"}
2025-03-13 02:20:54,252 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (IT) | POST /delete_file/de19a251-0715-47fc-b562-de82653c5b72.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "project-bolt-sb1-agu2tp.zip", "department": "IT", "user": "Yvez", "secure_wipe": false}
2025-03-13 03:12:01,913 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-13T03:12:01.913558"}
2025-03-13 03:12:03,235 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-13 16:51:29,984 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-13T16:51:29.984261"}
2025-03-13 16:51:30,563 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-13 20:27:41,952 - WARNING - EVENT: login_attempt | IP: 2402:4000:2080:6ec:f584:11af:5e24:8db1 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-13T20:27:41.951828"}
2025-03-13 20:27:42,238 - WARNING - EVENT: login_success | IP: 2402:4000:2080:6ec:f584:11af:5e24:8db1 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-13 22:20:26,437 - WARNING - EVENT: login_attempt | IP: 2402:4000:2080:6ec:d4e1:dbf5:5816:e103 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 131.0.0 | OS: Android 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-13T22:20:26.436874"}
2025-03-13 22:20:26,640 - WARNING - EVENT: login_success | IP: 2402:4000:2080:6ec:d4e1:dbf5:5816:e103 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 131.0.0 | OS: Android 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-13 22:22:08,490 - WARNING - EVENT: login_attempt | IP: 2402:d000:8108:3a4f:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "Admin", "ip": "192.168.8.192", "timestamp": "2025-03-13T22:22:08.490543"}
2025-03-13 22:22:08,492 - WARNING - EVENT: login_failed | IP: 2402:d000:8108:3a4f:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "Admin", "reason": "Invalid username", "ip": "192.168.8.192"}
2025-03-13 22:22:34,740 - WARNING - EVENT: login_attempt | IP: 2402:d000:8108:3a4f:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-13T22:22:34.740632"}
2025-03-13 22:22:34,960 - WARNING - EVENT: login_success | IP: 2402:d000:8108:3a4f:d538:d211:506a:3e13 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 116.0.0 | OS: Android 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-13 22:22:48,948 - WARNING - EVENT: login_attempt | IP: 2402:4000:2080:6ec:d4e1:dbf5:5816:e103 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome Mobile 131.0.0 | OS: Android 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-13T22:22:48.948098"}
2025-03-13 22:22:49,184 - WARNING - EVENT: login_success | IP: 2402:4000:2080:6ec:d4e1:dbf5:5816:e103 | Location: Colombo, Sri Lanka (Colombo District) | Coords: 6.9318,79.8863 | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome Mobile 131.0.0 | OS: Android 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-14 13:45:51,069 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-14T13:45:51.060249"}
2025-03-14 13:45:52,191 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-14 13:56:56,260 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "ip": "127.0.0.1", "timestamp": "2025-03-14T13:56:56.260805"}
2025-03-14 13:56:56,275 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "reason": "Invalid username", "ip": "127.0.0.1"}
2025-03-14 13:57:06,824 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "ip": "127.0.0.1", "timestamp": "2025-03-14T13:57:06.824344"}
2025-03-14 13:57:07,368 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "reason": "Invalid password", "ip": "127.0.0.1"}
2025-03-14 13:57:14,189 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "ip": "127.0.0.1", "timestamp": "2025-03-14T13:57:14.189530"}
2025-03-14 13:57:14,768 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "user_id": 5, "name": "Navindra", "is_admin": false}
2025-03-14 14:04:01,293 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-14T14:04:01.292749"}
2025-03-14 14:04:01,845 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: Yvez (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-14 14:06:40,132 - WARNING - EVENT: department_creation | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /add_department | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"department_name": "Test", "created_by": "admin", "timestamp": "2025-03-14T14:06:40.132683"}
2025-03-14 14:15:02,428 - WARNING - EVENT: department_creation | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (Test) | POST /add_department | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"department_name": "test2", "created_by": "admin", "timestamp": "2025-03-14T14:15:02.428624"}
2025-03-14 14:15:14,881 - WARNING - EVENT: department_creation | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (Test) | POST /add_department | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"department_name": "Test3", "created_by": "admin", "timestamp": "2025-03-14T14:15:14.881116"}
2025-03-14 14:18:03,853 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "ip": "127.0.0.1", "timestamp": "2025-03-14T14:18:03.853162"}
2025-03-14 14:18:04,203 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "reason": "Invalid password", "ip": "127.0.0.1"}
2025-03-14 14:18:13,732 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "ip": "127.0.0.1", "timestamp": "2025-03-14T14:18:13.732711"}
2025-03-14 14:18:14,071 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "Yvez", "user_id": 5, "name": "Navindra", "is_admin": false}
2025-03-15 01:02:44,176 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-15T01:02:44.175959"}
2025-03-15 01:02:45,362 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-15 19:19:00,329 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-15T19:19:00.328886"}
2025-03-15 19:19:00,659 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-15 19:19:12,974 - WARNING - EVENT: file_deletion | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/d6991740-bbf4-4bc7-bf0f-3872354ddef1.enc | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"filename": "Docuemts.rar", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-15 19:42:04,530 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-15T19:42:04.530657"}
2025-03-15 19:42:05,795 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-15 20:16:46,747 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-15T20:16:46.746832"}
2025-03-15 20:16:47,240 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-15 21:06:28,569 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-15T21:06:28.569094"}
2025-03-15 21:06:28,835 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-16 18:37:11,537 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-16T18:37:11.537193"}
2025-03-16 18:37:11,848 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-16 18:45:26,300 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-16T18:45:26.300328"}
2025-03-16 18:45:26,676 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-16 18:57:48,876 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-16T18:57:48.875990"}
2025-03-16 18:57:49,172 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-16 19:08:57,902 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-16T19:08:57.901863"}
2025-03-16 19:08:58,200 - WARNING - EVENT: login_success | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-16 19:57:03,840 - WARNING - EVENT: login_attempt | IP: 192.168.8.192 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-16T19:57:03.840311"}
